IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.210.64,2052,2052,false,SIN,Asia Pacific,Singapore,12,12.09
47.245.15.39,8443,8443,true,NRT,Asia Pacific,Tokyo,88,12.09
8.219.249.148,2087,2087,true,SIN,Asia Pacific,Singapore,83,12.09
8.219.97.179,8080,8080,false,SIN,Asia Pacific,Singapore,5,12.08
8.219.4.122,443,443,true,HKG,Asia Pacific,Hong Kong,77,12.08
47.74.43.95,2095,2095,false,NRT,Asia Pacific,Tokyo,74,12.08
47.245.12.179,8443,8443,true,NRT,Asia Pacific,Tokyo,133,12.07
47.91.21.127,2083,2083,true,NRT,Asia Pacific,Tokyo,108,12.07
8.219.196.24,2052,2052,false,SIN,Asia Pacific,Singapore,6,12.07
8.219.12.152,2053,2053,true,SIN,Asia Pacific,Singapore,105,12.07
8.222.222.64,2083,2083,true,SIN,Asia Pacific,Singapore,47,12.07
47.236.117.48,8080,8080,false,SIN,Asia Pacific,Singapore,58,12.06
8.218.143.10,2087,2087,true,HKG,Asia Pacific,Hong Kong,145,12.06
47.236.65.177,8080,8080,false,SIN,Asia Pacific,Singapore,14,12.06
47.236.173.200,8080,8080,false,SIN,Asia Pacific,Singapore,7,12.06
47.74.13.200,2096,2096,true,NRT,Asia Pacific,Tokyo,161,12.06
47.236.189.173,2095,2095,false,SIN,Asia Pacific,Singapore,15,12.05
8.219.42.72,2083,2083,true,SIN,Asia Pacific,Singapore,90,12.05
47.245.54.98,8880,8880,false,NRT,Asia Pacific,Tokyo,89,12.05
47.245.10.156,2053,2053,true,NRT,Asia Pacific,Tokyo,119,12.05
47.74.43.95,80,80,false,NRT,Asia Pacific,Tokyo,81,12.04
8.219.142.229,2053,2053,true,SIN,Asia Pacific,Singapore,76,12.04
8.219.237.250,2053,2053,true,SIN,Asia Pacific,Singapore,131,12.04
8.219.114.201,443,443,true,SIN,Asia Pacific,Singapore,172,12.04
8.222.240.47,2053,2053,true,SIN,Asia Pacific,Singapore,74,12.03
8.219.170.232,8443,8443,true,SIN,Asia Pacific,Singapore,159,12.03
8.219.215.214,443,443,true,SIN,Asia Pacific,Singapore,132,12.03
8.219.93.5,2052,2052,false,SIN,Asia Pacific,Singapore,5,12.03
47.236.150.13,2087,2087,true,SIN,Asia Pacific,Singapore,92,12.03
8.219.204.120,80,80,false,SIN,Asia Pacific,Singapore,6,12.03
47.91.10.228,2086,2086,false,NRT,Asia Pacific,Tokyo,116,12.02
47.236.114.167,8080,8080,false,SIN,Asia Pacific,Singapore,6,12.02
8.219.194.170,2053,2053,true,SIN,Asia Pacific,Singapore,176,12.02
47.245.32.215,2083,2083,true,NRT,Asia Pacific,Tokyo,88,12.02
47.74.41.136,2087,2087,true,NRT,Asia Pacific,Tokyo,131,12.02
8.218.201.73,80,80,false,HKG,Asia Pacific,Hong Kong,41,12.02
8.219.199.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,142,12.01
47.91.21.127,8443,8443,true,NRT,Asia Pacific,Tokyo,107,12.01
47.236.150.109,2052,2052,false,SIN,Asia Pacific,Singapore,18,12.01
47.245.80.142,2052,2052,false,HKG,Asia Pacific,Hong Kong,37,12.00
8.219.228.186,443,443,true,SIN,Asia Pacific,Singapore,75,12.00
8.219.249.148,2095,2095,false,SIN,Asia Pacific,Singapore,19,12.00
8.219.56.205,8880,8880,false,SIN,Asia Pacific,Singapore,6,12.00
8.219.215.214,8880,8880,false,SIN,Asia Pacific,Singapore,9,11.99
47.74.4.47,2083,2083,true,NRT,Asia Pacific,Tokyo,177,11.99
8.219.78.1,8080,8080,false,SIN,Asia Pacific,Singapore,13,11.99
47.74.50.249,8443,8443,true,NRT,Asia Pacific,Tokyo,134,11.99
8.209.252.13,80,80,false,NRT,Asia Pacific,Tokyo,101,11.98
47.91.19.189,2095,2095,false,NRT,Asia Pacific,Tokyo,76,11.98
8.219.249.38,2095,2095,false,SIN,Asia Pacific,Singapore,10,11.98
47.74.54.33,2095,2095,false,NRT,Asia Pacific,Tokyo,75,11.98
47.245.52.240,80,80,false,NRT,Asia Pacific,Tokyo,91,11.98
8.219.122.96,2087,2087,true,SIN,Asia Pacific,Singapore,57,11.98
8.219.124.227,2095,2095,false,SIN,Asia Pacific,Singapore,6,11.97
8.219.112.75,80,80,false,SIN,Asia Pacific,Singapore,9,11.97
47.74.19.68,8443,8443,true,NRT,Asia Pacific,Tokyo,219,11.97
8.222.221.109,2086,2086,false,SIN,Asia Pacific,Singapore,7,11.97
47.245.37.37,2096,2096,true,NRT,Asia Pacific,Tokyo,126,11.97
8.219.167.113,80,80,false,HKG,Asia Pacific,Hong Kong,96,11.97
8.219.90.196,80,80,false,SIN,Asia Pacific,Singapore,21,11.96
8.209.222.232,2053,2053,true,HKG,Asia Pacific,Hong Kong,163,11.96
47.236.88.181,2095,2095,false,SIN,Asia Pacific,Singapore,14,11.96
8.209.243.99,80,80,false,NRT,Asia Pacific,Tokyo,78,11.96
47.245.108.213,2096,2096,true,SIN,Asia Pacific,Singapore,98,11.96
47.236.121.7,2083,2083,true,SIN,Asia Pacific,Singapore,89,11.96
8.219.217.81,80,80,false,SIN,Asia Pacific,Singapore,40,11.96
8.218.174.118,2096,2096,true,HKG,Asia Pacific,Hong Kong,70,11.95
8.222.221.90,2053,2053,true,SIN,Asia Pacific,Singapore,79,11.95
47.74.36.154,2083,2083,true,NRT,Asia Pacific,Tokyo,80,11.95
47.74.47.167,2086,2086,false,NRT,Asia Pacific,Tokyo,90,11.95
8.209.214.222,8443,8443,true,NRT,Asia Pacific,Tokyo,113,11.95
8.219.201.174,2096,2096,true,HKG,Asia Pacific,Hong Kong,147,11.95
47.74.6.16,2096,2096,true,NRT,Asia Pacific,Tokyo,88,11.94
8.219.140.229,2095,2095,false,SIN,Asia Pacific,Singapore,13,11.94
8.222.238.141,80,80,false,SIN,Asia Pacific,Singapore,18,11.94
8.219.107.135,2083,2083,true,SIN,Asia Pacific,Singapore,112,11.93
47.245.41.84,8443,8443,true,NRT,Asia Pacific,Tokyo,146,11.93
8.219.184.92,8880,8880,false,SIN,Asia Pacific,Singapore,25,11.93
8.222.222.64,2096,2096,true,SIN,Asia Pacific,Singapore,143,11.93
47.74.11.219,2053,2053,true,NRT,Asia Pacific,Tokyo,130,11.93
8.219.184.92,80,80,false,HKG,Asia Pacific,Hong Kong,136,11.93
8.219.97.179,2052,2052,false,SIN,Asia Pacific,Singapore,6,11.92
8.218.22.210,2082,2082,false,HKG,Asia Pacific,Hong Kong,66,11.92
47.74.5.99,2082,2082,false,NRT,Asia Pacific,Tokyo,88,11.92
8.219.82.177,2086,2086,false,SIN,Asia Pacific,Singapore,17,11.92
8.219.99.8,2083,2083,true,SIN,Asia Pacific,Singapore,113,11.92
47.245.54.140,8080,8080,false,NRT,Asia Pacific,Tokyo,87,11.92
8.219.163.195,8443,8443,true,SIN,Asia Pacific,Singapore,89,11.91
8.219.201.8,2086,2086,false,SIN,Asia Pacific,Singapore,19,11.91
47.236.123.133,2095,2095,false,SIN,Asia Pacific,Singapore,19,11.90
47.74.19.68,2095,2095,false,NRT,Asia Pacific,Tokyo,87,11.90
47.74.9.174,2052,2052,false,NRT,Asia Pacific,Tokyo,81,11.90
8.219.93.85,2082,2082,false,SIN,Asia Pacific,Singapore,8,11.89
8.219.204.120,2095,2095,false,SIN,Asia Pacific,Singapore,18,11.89
47.236.75.113,2095,2095,false,SIN,Asia Pacific,Singapore,16,11.89
8.219.99.8,443,443,true,SIN,Asia Pacific,Singapore,177,11.89
8.219.245.187,2096,2096,true,SIN,Asia Pacific,Singapore,115,11.89
47.91.1.199,2083,2083,true,NRT,Asia Pacific,Tokyo,142,11.88
8.209.212.5,2083,2083,true,NRT,Asia Pacific,Tokyo,90,11.88
8.218.105.223,8443,8443,true,HKG,Asia Pacific,Hong Kong,82,11.88
8.219.104.242,2053,2053,true,SIN,Asia Pacific,Singapore,133,11.88
47.236.106.37,2095,2095,false,SIN,Asia Pacific,Singapore,11,11.88
47.236.116.182,2086,2086,false,SIN,Asia Pacific,Singapore,51,11.88
47.245.114.163,2086,2086,false,SIN,Asia Pacific,Singapore,5,11.87
47.236.145.85,2053,2053,true,SIN,Asia Pacific,Singapore,114,11.87
8.219.217.81,2096,2096,true,SIN,Asia Pacific,Singapore,86,11.87
47.74.46.84,2082,2082,false,NRT,Asia Pacific,Tokyo,81,11.87
8.209.242.25,2096,2096,true,NRT,Asia Pacific,Tokyo,135,11.87
47.245.33.56,2096,2096,true,NRT,Asia Pacific,Tokyo,157,11.87
47.245.9.228,2096,2096,true,NRT,Asia Pacific,Tokyo,99,11.86
47.74.13.239,2086,2086,false,NRT,Asia Pacific,Tokyo,90,11.86
47.74.36.154,80,80,false,NRT,Asia Pacific,Tokyo,88,11.86
8.218.126.53,2053,2053,true,HKG,Asia Pacific,Hong Kong,94,11.86
47.236.65.177,8443,8443,true,SIN,Asia Pacific,Singapore,69,11.86
8.219.210.226,2053,2053,true,SIN,Asia Pacific,Singapore,114,11.86
8.219.177.205,80,80,false,SIN,Asia Pacific,Singapore,13,11.86
47.245.114.163,2087,2087,true,SIN,Asia Pacific,Singapore,111,11.86
47.245.84.124,8443,8443,true,SIN,Asia Pacific,Singapore,82,11.85
47.243.183.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,96,11.85
8.219.210.226,2052,2052,false,SIN,Asia Pacific,Singapore,7,11.85
47.91.16.198,2086,2086,false,NRT,Asia Pacific,Tokyo,101,11.85
47.245.3.137,2087,2087,true,NRT,Asia Pacific,Tokyo,115,11.85
47.245.56.207,2087,2087,true,NRT,Asia Pacific,Tokyo,151,11.84
47.236.184.14,2082,2082,false,SIN,Asia Pacific,Singapore,36,11.84
47.74.42.111,2096,2096,true,NRT,Asia Pacific,Tokyo,97,11.84
8.219.210.64,443,443,true,SIN,Asia Pacific,Singapore,231,11.84
8.219.159.232,2095,2095,false,SIN,Asia Pacific,Singapore,22,11.84
8.219.142.191,2095,2095,false,SIN,Asia Pacific,Singapore,13,11.84
8.219.174.213,2083,2083,true,SIN,Asia Pacific,Singapore,223,11.83
8.219.248.170,2053,2053,true,HKG,Asia Pacific,Hong Kong,311,11.83
8.222.211.124,8443,8443,true,SIN,Asia Pacific,Singapore,76,11.83
8.219.43.243,2083,2083,true,SIN,Asia Pacific,Singapore,113,11.83
47.245.56.50,8880,8880,false,NRT,Asia Pacific,Tokyo,113,11.83
47.236.97.111,80,80,false,SIN,Asia Pacific,Singapore,192,11.82
47.74.42.111,2082,2082,false,NRT,Asia Pacific,Tokyo,92,11.82
8.222.254.91,443,443,true,SIN,Asia Pacific,Singapore,103,11.82
8.219.5.10,443,443,true,SIN,Asia Pacific,Singapore,3,11.82
8.219.253.114,2086,2086,false,HKG,Asia Pacific,Hong Kong,43,11.82
47.245.54.140,80,80,false,NRT,Asia Pacific,Tokyo,85,11.81
8.218.126.53,8880,8880,false,HKG,Asia Pacific,Hong Kong,47,11.81
47.74.27.151,2087,2087,true,NRT,Asia Pacific,Tokyo,93,11.81
8.210.117.18,2095,2095,false,HKG,Asia Pacific,Hong Kong,47,11.80
47.245.15.39,2096,2096,true,NRT,Asia Pacific,Tokyo,128,11.80
47.74.5.99,8880,8880,false,NRT,Asia Pacific,Tokyo,88,11.80
47.74.0.183,2096,2096,true,NRT,Asia Pacific,Tokyo,135,11.80
8.219.50.180,80,80,false,SIN,Asia Pacific,Singapore,15,11.80
47.74.4.47,2095,2095,false,NRT,Asia Pacific,Tokyo,91,11.80
8.219.230.254,2086,2086,false,SIN,Asia Pacific,Singapore,20,11.80
8.219.58.64,443,443,true,SIN,Asia Pacific,Singapore,135,11.80
47.245.54.140,2086,2086,false,NRT,Asia Pacific,Tokyo,88,11.80
8.219.173.195,8080,8080,false,SIN,Asia Pacific,Singapore,409,11.80
47.74.0.183,2087,2087,true,NRT,Asia Pacific,Tokyo,109,11.79
47.74.6.16,2095,2095,false,NRT,Asia Pacific,Tokyo,82,11.79
8.219.198.34,2087,2087,true,SIN,Asia Pacific,Singapore,180,11.79
8.218.136.25,2053,2053,true,HKG,Asia Pacific,Hong Kong,80,11.79
8.219.40.255,2053,2053,true,SIN,Asia Pacific,Singapore,85,11.79
8.219.56.205,2053,2053,true,SIN,Asia Pacific,Singapore,20,11.79
8.219.250.239,2053,2053,true,HKG,Asia Pacific,Hong Kong,164,11.78
47.245.58.250,8080,8080,false,NRT,Asia Pacific,Tokyo,82,11.78
47.74.54.33,80,80,false,NRT,Asia Pacific,Tokyo,75,11.78
8.219.113.232,2086,2086,false,SIN,Asia Pacific,Singapore,160,11.78
8.219.153.44,80,80,false,SIN,Asia Pacific,Singapore,10,11.78
8.219.53.142,2087,0,true,SIN,Asia Pacific,Singapore,3,11.78
47.91.15.247,2087,2087,true,NRT,Asia Pacific,Tokyo,98,11.77
47.74.23.193,2086,2086,false,NRT,Asia Pacific,Tokyo,79,11.77
8.219.84.214,8880,8880,false,SIN,Asia Pacific,Singapore,2,11.77
8.222.208.83,2086,2086,false,SIN,Asia Pacific,Singapore,15,11.77
47.74.13.66,2095,2095,false,NRT,Asia Pacific,Tokyo,81,11.76
47.236.144.156,2086,2086,false,SIN,Asia Pacific,Singapore,11,11.76
8.218.110.180,8443,8443,true,HKG,Asia Pacific,Hong Kong,73,11.76
8.210.66.190,2052,2052,false,HKG,Asia Pacific,Hong Kong,49,11.76
47.74.43.95,2087,2087,true,NRT,Asia Pacific,Tokyo,82,11.76
47.236.114.167,2082,2082,false,SIN,Asia Pacific,Singapore,8,11.76
47.236.123.218,2083,2083,true,SIN,Asia Pacific,Singapore,66,11.76
8.219.172.128,2095,2095,false,HKG,Asia Pacific,Hong Kong,56,11.75
47.74.13.94,8443,8443,true,NRT,Asia Pacific,Tokyo,143,11.75
8.219.201.8,8880,8880,false,SIN,Asia Pacific,Singapore,10,11.75
47.241.209.61,443,443,true,SIN,Asia Pacific,Singapore,103,11.75
47.91.14.62,8080,8080,false,NRT,Asia Pacific,Tokyo,84,11.75
8.218.22.210,80,80,false,HKG,Asia Pacific,Hong Kong,35,11.75
47.74.34.135,2087,2087,true,NRT,Asia Pacific,Tokyo,82,11.74
47.242.59.216,8880,8880,false,HKG,Asia Pacific,Hong Kong,41,11.74
8.219.220.122,8880,8880,false,SIN,Asia Pacific,Singapore,17,11.74
8.219.228.157,2082,2082,false,SIN,Asia Pacific,Singapore,10,11.74
8.219.66.156,2052,2052,false,NRT,Asia Pacific,Tokyo,85,11.74
8.219.82.35,2053,2053,true,SIN,Asia Pacific,Singapore,83,11.74
47.236.96.141,2083,2083,true,SIN,Asia Pacific,Singapore,81,11.74
8.222.240.47,80,80,false,SIN,Asia Pacific,Singapore,5,11.73
8.219.1.92,2086,2086,false,HKG,Asia Pacific,Hong Kong,66,11.73
47.245.14.160,2096,2096,true,NRT,Asia Pacific,Tokyo,128,11.73
47.245.59.188,80,80,false,NRT,Asia Pacific,Tokyo,116,11.73
47.236.148.174,2096,2096,true,SIN,Asia Pacific,Singapore,133,11.73
8.219.178.225,2095,2095,false,SIN,Asia Pacific,Singapore,125,11.73
8.219.66.156,2086,2086,false,NRT,Asia Pacific,Tokyo,117,11.72
47.236.104.98,2095,2095,false,SIN,Asia Pacific,Singapore,34,11.72
47.245.10.156,2083,2083,true,NRT,Asia Pacific,Tokyo,87,11.72
8.219.101.72,8080,8080,false,SIN,Asia Pacific,Singapore,20,11.72
8.219.195.47,443,443,true,SIN,Asia Pacific,Singapore,91,11.72
8.219.113.27,2053,2053,true,SIN,Asia Pacific,Singapore,157,11.72
8.219.13.143,443,443,true,SIN,Asia Pacific,Singapore,106,11.72
8.219.233.6,2082,2082,false,SIN,Asia Pacific,Singapore,23,11.72
47.91.21.149,2096,2096,true,NRT,Asia Pacific,Tokyo,79,11.71
8.219.193.22,2083,2083,true,SIN,Asia Pacific,Singapore,237,11.71
47.74.9.174,2086,2086,false,NRT,Asia Pacific,Tokyo,102,11.71
47.74.23.99,2053,2053,true,NRT,Asia Pacific,Tokyo,160,11.71
8.222.211.16,2052,2052,false,SIN,Asia Pacific,Singapore,34,11.71
47.245.40.161,2083,2083,true,NRT,Asia Pacific,Tokyo,123,11.71
47.236.130.95,443,443,true,SIN,Asia Pacific,Singapore,47,11.70
8.222.221.197,8080,8080,false,SIN,Asia Pacific,Singapore,3,11.70
47.242.79.71,2095,2095,false,HKG,Asia Pacific,Hong Kong,40,11.70
8.219.79.74,2052,2052,false,SIN,Asia Pacific,Singapore,15,11.70
47.245.82.78,2052,2052,false,SIN,Asia Pacific,Singapore,5,11.70
47.236.144.196,2087,2087,true,SIN,Asia Pacific,Singapore,22,11.70
47.74.15.120,2053,2053,true,NRT,Asia Pacific,Tokyo,132,11.70
47.245.53.101,8443,8443,true,NRT,Asia Pacific,Tokyo,91,11.70
47.74.4.47,8080,8080,false,NRT,Asia Pacific,Tokyo,86,11.69
8.219.101.138,2083,2083,true,SIN,Asia Pacific,Singapore,66,11.69
47.236.97.90,8880,8880,false,SIN,Asia Pacific,Singapore,15,11.69
47.91.16.214,8880,8880,false,NRT,Asia Pacific,Tokyo,75,11.69
8.209.243.137,2096,2096,true,NRT,Asia Pacific,Tokyo,102,11.68
47.74.5.233,2082,2082,false,NRT,Asia Pacific,Tokyo,90,11.68
8.219.63.193,8080,8080,false,SIN,Asia Pacific,Singapore,24,11.68
47.236.121.7,2082,2082,false,SIN,Asia Pacific,Singapore,7,11.68
8.219.107.135,2087,2087,true,SIN,Asia Pacific,Singapore,81,11.67
8.219.82.35,2096,2096,true,SIN,Asia Pacific,Singapore,53,11.67
8.218.142.253,2087,2087,true,HKG,Asia Pacific,Hong Kong,59,11.67
47.74.20.143,8443,8443,true,NRT,Asia Pacific,Tokyo,201,11.67
8.219.101.138,443,443,true,SIN,Asia Pacific,Singapore,142,11.67
47.91.17.102,2082,2082,false,NRT,Asia Pacific,Tokyo,108,11.67
47.74.5.233,2052,2052,false,NRT,Asia Pacific,Tokyo,82,11.67
8.222.136.196,2086,0,false,SIN,Asia Pacific,Singapore,3,11.67
8.219.73.188,8443,8443,true,SIN,Asia Pacific,Singapore,168,11.66
47.236.193.208,2083,2083,true,SIN,Asia Pacific,Singapore,134,11.66
47.74.36.154,8880,8880,false,NRT,Asia Pacific,Tokyo,82,11.66
8.219.110.88,2053,2053,true,SIN,Asia Pacific,Singapore,87,11.66
8.219.173.239,2086,2086,false,SIN,Asia Pacific,Singapore,18,11.66
8.219.111.147,8080,8080,false,SIN,Asia Pacific,Singapore,6,11.66
47.245.41.169,2053,2053,true,NRT,Asia Pacific,Tokyo,170,11.65
47.236.88.181,80,80,false,HKG,Asia Pacific,Hong Kong,79,11.65
47.236.164.215,2082,2082,false,SIN,Asia Pacific,Singapore,48,11.65
8.219.188.162,2095,2095,false,SIN,Asia Pacific,Singapore,5,11.65
8.219.134.117,2096,2096,true,SIN,Asia Pacific,Singapore,103,11.65
8.222.152.165,8880,8880,false,SIN,Asia Pacific,Singapore,3,11.65
8.218.22.210,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,11.64
8.219.186.189,8443,8443,true,SIN,Asia Pacific,Singapore,197,11.64
8.222.249.98,2096,2096,true,SIN,Asia Pacific,Singapore,82,11.64
47.74.50.249,8080,8080,false,NRT,Asia Pacific,Tokyo,81,11.64
47.236.87.206,2095,2095,false,SIN,Asia Pacific,Singapore,21,11.63
8.222.224.163,2086,2086,false,SIN,Asia Pacific,Singapore,12,11.63
47.74.0.183,2053,2053,true,NRT,Asia Pacific,Tokyo,305,11.63
47.242.17.250,2087,2087,true,HKG,Asia Pacific,Hong Kong,106,11.62
47.74.20.143,2087,2087,true,NRT,Asia Pacific,Tokyo,152,11.62
47.74.43.24,8080,8080,false,NRT,Asia Pacific,Tokyo,91,11.62
47.245.54.58,8880,8880,false,NRT,Asia Pacific,Tokyo,98,11.62
8.219.126.3,8880,8880,false,SIN,Asia Pacific,Singapore,28,11.61
47.245.54.98,8443,8443,true,NRT,Asia Pacific,Tokyo,102,11.61
47.245.10.156,2096,2096,true,NRT,Asia Pacific,Tokyo,125,11.60
47.74.6.16,8880,8880,false,NRT,Asia Pacific,Tokyo,84,11.60
8.219.124.227,2086,2086,false,SIN,Asia Pacific,Singapore,19,11.60
